Grupo,Agência,Nível de Similaridade,Ranking de Ameaça,Similaridades com Artplan
Holding IPG,WMcCann,ALTO,1,Agência full service; 4ª maior do Brasil; concorrência direta em contas grandes; similar estrutura
Holding WPP,VMLY&R,ALTO,2,Full service; reconhecimento em criação e mídia; grande concorrente direto
Holding Omnicom,AlmapBBDO,ALTO,3,Agência full service; líder em criação; atende grandes contas; presença nacional; forte em TV
Holding Publicis,Leo Burnett (Leo),ALTO,4,Full service; reconhecimento criativo; presença em contas de grande volume
Holding Havas,BETC Havas,ALTO,5,2ª maior do Brasil; concorrência direta forte; presença em grandes contas; similar porte
Independente Brasil,Galeria (Galeria.ag),ALTO,6,3ª maior independente; modelo ágil; compete em contas de médio-grande porte
Independente Brasil,Suno United Creators,ALTO,7,Independente em crescimento; compete em contas de médio porte; criatividade inovadora
Holding Omnicom,Africa Creative (Africa DDB),ALTO,8,Full service; presença em grandes pitchs; reconhecimento criativo; concorrência direta
Holding WPP,Ogilvy & Mather Brasil,ALTO,9,Full service tradicional; forte em multinacionais; similar estrutura organizacional
Holding IPG,Mediabrands,ALTO,10,Líder em mídia no Brasil; presença em grandes contas; concorrência em compra de mídia
Holding Omnicom,DM9 (DM9DDB),MÉDIO,11,Full service; presença em pitchs; compete por contas tradicionais
Holding WPP,Grey Brasil,MÉDIO,12,Full service; presença em pitchs relevantes; força em criação estratégica
Holding Publicis,Publicis Brasil,MÉDIO,13,Agência full service; compete em pitchs; presença em grandes contas
Independente Brasil,DPZ (DPZ&T),MÉDIO,14,Agência independente; reconhecimento criativo; compete em contas premium
Holding IPG,FCB Brasil,MÉDIO,15,Agência full service; compete em pitchs; presença em contas nacionais
Independente Brasil,Talent (Talent Marcel),MÉDIO,16,Full service com foco estratégico; compete em contas de grande volume
Holding Omnicom,Lew'Lara\TBWA,MÉDIO,17,Full service; força em criação; compete em contas de grande porte
Independente Brasil,We (Agência We),MÉDIO,18,Independente full service; compete em contas de médio porte; presença crescente
Holding WPP,Fbiz,MÉDIO,19,Agência digital; compete em contas digitais; crescimento recente; fusão com Mirum
Independente Brasil,Wieden+Kennedy,MÉDIO,20,Agência criativa; crescimento rápido no ranking; modelo criativo forte
Holding IPG,Aldeiah,MÉDIO,21,Consultoria e full service; criada para grandes contas; modelo inovador
Independente Brasil,Propeg Comunicação,MÉDIO,22,Agência tradicional; compete em contas nacionais; fundada em 1965
Holding Dentsu,Dentsu Creative,MÉDIO,23,Agência criativa; compete em contas criativas; inovação em soluções
Holding Omnicom,iD\TBWA,BAIXO,24,Operação digital; compete em contas digitais; menor escala
Especializada/Boutique,Euphoria Creative,BAIXO,25,Full service; compete em contas de médio porte; foco em agilidade
Holding IPG,R/GA,BAIXO,26,Agência criativa e experiência; compete em contas criativas digitais
Independente Brasil,David,BAIXO,27,Independente full service; compete em contas nacionais de médio porte
Especializada/Boutique,Mestiça,BAIXO,28,Agência independente; propósito social; compete em contas com foco social
Especializada/Boutique,Accenture Song,BAIXO,29,Consultoria criativa; compete em contas de transformação; modelo diferenciado
Holding WPP,Wunderman Thompson,BAIXO,30,Full service; presença em pitchs; concorrência em contas de médio-grande porte
Holding Publicis,LePub,BAIXO,31,Agência criativa; compete em contas criativas; presença em pitchs
Especializada/Boutique,Rawi (Rawí),BAIXO,32,Independente; compete em contas de médio porte; presença crescente
Holding Dentsu,iProspect Dentsu,BAIXO,33,Performance e mídia; compete em contas de performance marketing
Independente Brasil,GUT,BAIXO,34,Independente full service; compete em contas de médio porte
Especializada/Boutique,Tech And Soul,BAIXO,35,Agência digital; compete em contas digitais; menor escala
Holding Omnicom,Asia,BAIXO,36,Spin-off da Africa; opera de forma independente; compete em médio porte
Especializada/Boutique,Streetwise,BAIXO,37,Agência digital; crescimento em ranking; compete em contas digitais
Independente Brasil,Nova/SB,BAIXO,38,Agência comunicação; compete em contas nacionais; modelo diferenciado
Especializada/Boutique,Calia,BAIXO,39,Full service; compete em contas de médio porte; presença regional
Especializada/Boutique,Jüssi,BAIXO,40,Agência digital; compete em contas digitais; presença em pitchs
Independente Brasil,Greenz,BAIXO,41,Full service; compete em contas nacionais; presença regional
Especializada/Boutique,LVL,BAIXO,42,Agência full service; compete em contas nacionais; presença de médio porte
Especializada/Boutique,OpusMúltipla,BAIXO,43,Agência comunicação; compete em contas nacionais; presença regional
Especializada/Boutique,Binder,BAIXO,44,Full service; compete em contas nacionais; presença de médio porte
Especializada/Boutique,Cheil Brasil,BAIXO,45,Experiência conectada; compete em contas de transformação digital
Holding WPP,EssenceMediacom (Blinks Essence),BAIXO,46,Mídia; compete em contas de compra de mídia; presença em planning
Especializada/Boutique,CP+B,BAIXO,47,Agência criativa internacional; compete em contas criativas internacionais
Especializada/Boutique,Droga5,BAIXO,48,Agência criativa; compete em contas criativas; presença internacional
Especializada/Boutique,Agência Nacional,BAIXO,49,Full service; compete em contas nacionais; presença de médio porte
Especializada/Boutique,Paim Comunicação,BAIXO,50,Agência comunicação; compete em contas nacionais; presença regional
